Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-47.633891345557906,14.005309520800356,1024346.5,0,0
400,-43.225824530025925,11.816587645259489,2023539.4,0,0
600,-46.056652663139,12.719344939991071,3044418.7,0,0
800,-47.75644759447618,14.005309520800356,4231894.6,0,0
1000,-50.174743428530626,14.81658764525949,5000523.5,0,0
1200,-47.34261724394843,15.841901188909336,6165982.9,0,0
1400,-47.37369432259394,14.587013686745866,7093619.9,0,0
1600,-50.58772974178492,15.841901188909336,8019529.9,0,0
1800,-55.760913078002766,15.841901188909336,9040938.6,0,0
2000,-52.0721912024618,15.153179313368469,9866782.5,0,0
200,-40.944325432743135,12.030623064450204,992697.4,0,0
400,-45.76622259880309,12.382753271882091,1967810.7,0,0
600,-51.50602557583914,14.234883479313979,3048118.3,0,0
800,-43.761367092198356,13.31658764525949,3997989.5,0,0
1000,-49.28707065892632,16.31658764525949,4904443.7,0,0
1200,-49.149039861802585,14.005309520800356,5914669.6,0,0
1400,-50.2662225988032,13.653179313368469,6896383.3,0,0
1600,-49.51580058016619,15.841901188909336,7965426.1,0,0
1800,-53.22090503230378,13.31658764525949,8911689.1,0,0
2000,-49.16412438692986,13.423605354854846,9926798.5,0,0
200,-44.05134314233856,12.719344939991071,982792.5,0,0
400,-43.54687765881197,13.882753271882091,1971991.4,0,0
600,-52.653895368407284,16.65317931336847,2952450.8,0,0
800,-47.572645216657456,14.81658764525949,4005576.3,0,0
1000,-50.83284223962118,15.734883479313979,4926911.6,0,0
1200,-46.63835682908449,11.341901188909336,5933379.7,0,0
1400,-48.73559953435295,15.153179313368469,7101182.2,0,0
1600,-46.20983197650741,13.530623064450204,7921516.3,0,0
1800,-50.75644759447618,14.005309520800356,9078134.2,0,0
2000,-52.68451843285754,14.234883479313979,10022139.8,0,0
200,-44.75560355720244,14.341901188909336,987725.4,0,0
400,-51.260913078002694,15.841901188909336,2017947.5,0,0
600,-50.06772571893526,13.316587645259489,2982045.7,0,0
800,-53.41901188909354,17.4644574378276,4112155.7,0,0
1000,-50.832842239621264,14.005309520800356,5099084.8,0,0
1200,-50.26622259880315,14.341901188909336,6002577.0,0,0
1400,-49.914546405566774,14.005309520800356,7016468.9,0,0
1600,-53.60281426691201,12.841901188909336,8029243.2,0,0
1800,-49.24051903207492,13.622556248918263,9167895.5,0,0
2000,-47.49625057151221,13.898291811205,10290153.8,0,0
200,-40.14903986180263,11.81658764525949,993933.4,0,0
400,-46.07225519357899,14.433834373377397,1989314.4,0,0
600,-46.914546405566846,14.005309520800356,2982017.6,0,0
800,-52.760913078002936,14.341901188909336,4094257.4,0,0
1000,-45.30752869597142,10.898291811205002,5079783.8,0,0
1200,-46.867994778715506,14.433834373377397,5906813.6,0,0
1400,-50.00602557583935,13.423605354854846,6984580.3,0,0
1600,-48.76628658992063,15.122556248918263,7946172.9,0,0
1800,-47.740519032075035,15.811278124459132,8910886.7,0,0
2000,-47.419011889093376,12.841901188909336,9987994.6,0,0
