Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-112.02863177800131,12.505309520800356,23617.0,0,0
400,-114.99807270466849,14.81658764525949,43413.4,0,0
600,-115.94699160317325,14.81658764525949,61749.9,0,0
800,-113.28358327128214,12.505309520800356,81805.7,0,0
1000,-116.60509041426384,14.005309520800356,102195.5,0,0
1200,-122.69695960761433,14.81658764525949,118143.4,0,0
1400,-115.99315320694649,13.31658764525949,138111.0,0,0
1600,-116.6361674929096,15.627865769718621,172770.7,0,0
1800,-122.51231319252173,15.275735562286734,184383.9,0,0
2000,-118.37952792508113,17.4644574378276,206700.1,0,0
200,-114.06430232240852,17.12786576971862,20910.1,0,0
400,-116.88037196235494,13.194031396341224,40428.7,0,0
600,-111.90613952020013,14.005309520800356,60086.5,0,0
800,-121.68679458020932,14.816587645259489,79657.5,0,0
1000,-115.74771467714876,14.433834373377397,99975.9,0,0
1200,-111.89105499507322,13.31658764525949,117940.9,0,0
1400,-116.63571347871385,14.81658764525949,139793.0,0,0
1600,-119.3603679395055,14.81658764525949,177190.6,0,0
1800,-118.35020291210026,14.127865769718621,178056.4,0,0
2000,-115.53406928103662,13.285964580809285,205154.2,0,0
200,-112.6255484513089,15.627865769718621,20980.2,0,0
400,-111.56961184320906,16.439143894177754,42628.6,0,0
600,-116.2071886261369,14.81658764525949,65614.1,0,0
800,-111.7676547088807,14.341901188909336,79814.0,0,0
1000,-114.24804070910963,12.505309520800356,99015.5,0,0
1200,-114.4012200224781,11.816587645259489,120084.5,0,0
1400,-119.74318520250513,16.439143894177754,137649.1,0,0
1600,-123.17164606396446,13.316587645259489,170218.2,0,0
1800,-115.94621155701634,15.122556248918263,202186.7,0,0
2000,-120.37059695802802,15.627865769718621,204433.0,0,0
200,-112.04423430844147,11.81658764525949,21102.5,0,0
400,-118.39636451587336,14.939143894177754,40238.5,0,0
600,-118.04384428536332,12.474686456350152,59676.3,0,0
800,-115.59486139574145,14.81658764525949,79693.0,0,0
1000,-112.07401333561788,14.694031396341225,99551.8,0,0
1200,-111.55446332696414,13.439143894177755,118205.2,0,0
1400,-119.58994189801888,14.005309520800356,138452.2,0,0
1600,-118.33505439585566,14.81658764525949,156947.2,0,0
1800,-120.0184667505961,14.81658764525949,189492.7,0,0
2000,-118.13610350179212,14.005309520800356,198062.7,0,0
200,-106.96207612830037,12.505309520800356,20912.5,0,0
400,-118.83997389357775,14.81658764525949,40257.4,0,0
600,-113.60509041426374,14.005309520800356,60243.2,0,0
800,-113.29782375913568,12.153179313368469,79286.6,0,0
1000,-116.03853476456288,14.816587645259489,98601.5,0,0
1200,-117.20187910533649,14.816587645259489,118526.2,0,0
1400,-118.05931883356877,14.81658764525949,140089.8,0,0
1600,-115.94738162625126,11.816587645259489,161438.5,0,0
1800,-119.10017091654167,13.316587645259489,176159.4,0,0
2000,-122.11570945586452,14.939143894177755,195295.4,0,0
