Node multiplier,Edge multiplier,Lowest energy,Chain break fraction,Duplicates,Overlaps
1,1,-321.17886613641076,0.0015748031496062992,20,144
1,2,-184.41254904274425,0.02204724409448819,11,26
1,3,-120.8917649737384,0.028346456692913385,7,12
1,4,-107.23761364086116,0.029921259842519685,5,8
1,5,-58.807592687088956,0.03937007874015748,5,4
1,6,-45.45966592234043,0.03622047244094488,10,4
1,7,-29.724846434143867,0.04409448818897638,16,0
1,8,-35.78641859500505,0.04251968503937008,9,0
1,9,-0.7186928760696638,0.047244094488188976,11,2
2,1,-219.136732745654,0.0031496062992125984,17,84
2,2,-118.56540232415203,0.007874015748031496,4,34
2,3,-101.72537051583036,0.012598425196850394,3,16
2,4,-87.81368225404557,0.025196850393700787,3,2
2,5,-48.38456932866458,0.028346456692913385,4,8
2,6,-52.117246728117976,0.02047244094488189,5,4
2,7,-39.582548203219226,0.031496062992125984,5,2
2,8,-25.271008037916907,0.031496062992125984,7,0
2,9,-34.853038235823114,0.03779527559055118,4,0
3,1,-146.82894200884044,0.004724409448818898,11,112
3,2,-84.38268928076504,0.0031496062992125984,1,44
3,3,-76.18102496883989,0.006299212598425197,3,16
3,4,-56.83303421297388,0.01889763779527559,5,6
3,5,-51.06260817148745,0.01889763779527559,1,10
3,6,-41.54169612024664,0.025196850393700787,4,2
3,7,-31.88320728607779,0.025196850393700787,2,2
3,8,-3.428780817046844,0.031496062992125984,5,2
3,9,-9.24524048007153,0.028346456692913385,7,0
4,1,-104.50600883215384,0.0031496062992125984,5,110
4,2,-31.361189156720027,0.0,2,48
4,3,-13.849010022806652,0.006299212598425197,1,40
4,4,-34.65415133287725,0.014173228346456693,0,20
4,5,-21.337173664539492,0.012598425196850394,3,10
4,6,-36.82727067797761,0.01889763779527559,2,2
4,7,-26.389034812191145,0.02047244094488189,3,6
4,8,-16.95933989037968,0.029921259842519685,2,4
4,9,-20.831410129543677,0.025196850393700787,4,0
5,1,-58.80272043679817,0.0,3,86
