Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
200,89964.0,30,0.03937007874015748,-34.76116904247264,17.939143894177757,2,1
400,179928.0,30,0.03937007874015748,39.689507998070496,13.178946871213927,0,2
600,269892.0,30,0.031496062992125984,6.2918621744135255,14.694031396341225,2,2
800,359856.0,30,0.028346456692913385,25.30196321070119,16.31658764525949,2,1
1000,449820.0,30,0.029921259842519685,-16.19461339277177,12.627865769718621,0,1
1200,539784.0,30,0.031496062992125984,-37.301893143210485,12.382753271882091,0,3
1400,629748.0,30,0.029921259842519685,-9.092125157820501,13.056390622295662,0,2
1600,719712.0,30,0.03622047244094488,-38.434678410651394,12.474686456350152,0,0
1800,809676.0,30,0.04409448818897638,-23.969894940863,17.281045083087093,0,0
2000,899640.0,30,0.03622047244094488,-27.291274101609737,13.22465446079143,0,0
200,89964.0,30,0.03464566929133858,9.918947897975956,12.964457437827601,2,1
400,179928.0,30,0.03622047244094488,18.031665151449744,12.382753271882091,2,2
600,269892.0,30,0.03779527559055118,-9.291466074962106,14.127865769718621,2,1
800,359856.0,30,0.03464566929133858,-25.638612793554444,13.209569935664133,0,1
1000,449820.0,30,0.03307086614173228,-37.715787484855845,15.520848060123265,0,1
1200,539784.0,30,0.03464566929133858,-8.464649411180066,13.898291811205,4,2
1400,629748.0,30,0.03622047244094488,1.8061026622670404,16.439143894177754,4,0
1600,719712.0,30,0.03464566929133858,-30.0612461289005,12.382753271882091,2,0
1800,809676.0,30,0.03464566929133858,11.372658311967813,16.439143894177754,4,1
2000,899640.0,30,0.03464566929133858,-12.490352977908001,15.520848060123265,0,0
200,89964.0,30,0.026771653543307086,20.02091812761415,14.81658764525949,4,3
400,179928.0,30,0.03622047244094488,1.4242574187761647,11.540852082972755,0,2
600,269892.0,30,0.04094488188976378,8.940185981177558,15.64295029484592,2,0
800,359856.0,30,0.029921259842519685,12.230162031317706,13.898291811205,0,2
1000,449820.0,30,0.03779527559055118,9.873630331476678,10.760197022963826,2,2
1200,539784.0,30,0.03307086614173228,-1.2093718859383777,15.658488834168827,4,2
1400,629748.0,30,0.03307086614173228,-4.469178885824103,18.65848883416883,4,1
1600,719712.0,30,0.03464566929133858,-20.785574557731127,13.194031396341225,0,2
1800,809676.0,30,0.03622047244094488,-20.770944046799563,15.627865769718621,0,1
2000,899640.0,30,0.03937007874015748,7.515672597931337,14.587013686745866,2,0
