Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
200,94812.36,25,0.0,-114.52459956177401,71.96599378342161,0,0
400,173864.36,25,0.0,-114.42428640034002,71.86568062198765,0,0
600,252916.36,25,0.0,-117.68820523619341,75.12959945784102,0,0
800,331968.36,25,0.0,-122.69290279962502,76.26533285960424,0,0
1000,411020.36,25,0.0,-121.970484222326,71.67395012063682,0,0
1200,490072.36,25,0.0,-119.19986283249425,68.90332873080507,0,0
1400,569124.36,25,0.0,-122.28822377953257,75.8606538395118,0,0
1600,648176.36,25,0.0,-122.02677841024516,75.59920847022435,0,0
1800,727228.36,25,0.0,-120.92258464892316,74.49501470890236,0,0
2000,806280.36,25,0.0,-123.17294944385439,76.7453795038336,0,0
