Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
200,94746.36,25,0.0,-302.3793522819203,120.67990956053484,0,0
400,173726.36,25,0.0,-325.8775439446074,121.00722644361669,1,0
600,252706.36,25,0.0,-351.343895986711,122.81420467509649,0,0
800,331686.36,25,0.0,-329.14248694668,125.18511777462987,1,0
1000,410666.36,25,0.0,-334.7842341245329,120.5005344992573,1,0
1200,489646.36,25,0.0,-330.5046436148382,120.3806294264569,0,0
1400,568626.36,25,0.0,-341.10255658502683,123.20183016679957,1,0
1600,647606.36,25,0.0,-338.5077595968,127.73731177533976,1,0
1800,726586.36,25,0.0,-332.02355665790213,122.52683832196405,0,0
2000,805566.36,25,0.0,-329.3529978734131,127.28402053634576,0,0
200,94745.16,25,0.0,-330.0480995698378,125.7690626222212,1,0
400,173725.16,25,0.0,-354.35966647800393,129.6046244656468,1,0
600,252705.16,25,0.0,-339.9584521980505,126.97612275727751,0,0
800,331685.16,25,0.0,-331.1925416506915,128.65705640842287,0,0
1000,410665.16,25,0.0,-324.5354436269807,113.58793539762212,0,0
1200,489645.16,25,0.0,-332.5585026176753,119.53918545636131,0,0
1400,568625.16,25,0.0,-327.85564331417885,123.74331049387605,1,0
1600,647605.16,25,0.0,-331.2883810668234,124.59280547083117,0,0
1800,726585.16,25,0.0,-337.2567414413983,125.988969454847,1,0
2000,805565.16,25,0.0,-334.2754610142995,118.97474911833666,0,0
2000,850840.0,25,0.0,-336.27980154488034,118.60311317243405,0,0
2000,850840.0,25,0.0,-317.25048763942345,115.10164834090081,0,0
2000,850840.0,25,0.0,-315.54876592114573,118.42917154356003,0,0
