Multiplier,Lowest energy,Chain break fraction,Overlaps
1.0,-714.0504997954515,0.0,42
1.5,-635.1682076174425,0.0,21
2.0,-633.5854409366931,0.0,14
2.5,-617.1950329366298,0.0,9
3.0,-616.8162666383845,0.0,7
3.5,-606.3519140149998,0.0,3
4.0,-613.0839441051091,0.0,3
4.5,-589.7246005942417,0.0,3
5.0,-599.8097606834505,0.0,1
5.5,-591.0411559561732,0.0013297872340425532,3
6.0,-563.6113993223751,0.0,1
1.0,-696.9986991021335,0.0,43
1.5,-634.8837545860702,0.0,27
2.0,-618.7962133418607,0.0,24
2.5,-596.7472437225266,0.0,12
3.0,-583.7049441494112,0.0,7
3.5,-596.3550768925545,0.0,5
4.0,-597.0200434910084,0.0,3
4.5,-579.5177835930166,0.0,2
5.0,-587.119466304835,0.0,2
5.5,-560.5727592716511,0.0,0
6.0,-606.4080338015007,0.0,0
1.0,-693.8184745077888,0.0,33
1.5,-660.0388214668801,0.0,28
2.0,-642.6194602298344,0.0,13
2.5,-628.5488507256316,0.0,13
3.0,-617.6051251896713,0.0,7
3.5,-610.6217674666016,0.0,7
4.0,-595.4972071904358,0.0,3
4.5,-592.4846819989692,0.0,1
5.0,-567.1800551929657,0.0,1
5.5,-559.8260688320665,0.0,0
6.0,-589.9931673484355,0.0,1
