Multiplier,Lowest energy,Chain break fraction,Overlaps
1.0,-341.1992788839156,0.0,9
1.5,-582.3897915911807,0.0,7
2.0,-874.6209596658664,0.0035398230088495575,12
2.5,-1224.7010315967386,0.0,15
3.0,-1535.7794038314403,0.0,23
3.5,-1889.2126445159815,0.0,32
4.0,-2271.1993651643334,0.0,30
4.5,-2643.2058016036326,0.0,38
5.0,-3043.1851476465813,0.0,36
5.5,-3464.8217877322213,0.0,41
6.0,-3906.7237575750255,0.0,42
6.5,-4353.868484943798,0.0,47
7.0,-4818.823283399302,0.0,46
7.5,-5353.299585116554,0.0,54
8.0,-5892.980605231138,0.0017699115044247787,57
8.5,-6464.1436075291485,0.0,69
9.0,-7050.660354017899,0.0,70
9.5,-7661.749144453047,0.0,71
1.0,-350.8857727317413,0.0,7
1.1,-372.5059040092588,0.0035398230088495575,10
1.2000000000000002,-439.6254179517948,0.0,4
1.3000000000000003,-497.6992973420049,0.0017699115044247787,6
1.4000000000000004,-547.6518586287306,0.0035398230088495575,10
1.5000000000000004,-592.3555140200148,0.0017699115044247787,7
1.6000000000000005,-629.1193737845931,0.0,9
1.7000000000000006,-670.4862363899828,0.0,12
1.8000000000000007,-734.4569281024519,0.0,11
1.9000000000000008,-823.1065922631776,0.0,12
2.000000000000001,-860.0878344617178,0.0,10
1.0,-339.79270821681877,0.0017699115044247787,8
1.1,-389.2320352438066,0.0,7
1.2000000000000002,-433.9445670675725,0.0,11
1.3000000000000003,-486.0648452639661,0.0017699115044247787,6
1.4000000000000004,-541.8588509814913,0.0,8
1.5000000000000004,-587.3274943533089,0.0,9
1.6000000000000005,-648.3264545340721,0.0,5
1.7000000000000006,-704.8003360271125,0.0017699115044247787,6
1.8000000000000007,-737.4323759807639,0.0,12
1.9000000000000008,-838.0734504675336,0.0017699115044247787,11
2.000000000000001,-848.3357525768765,0.0,8
