Chain strength,Total reads,Time,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
10,500,149509.96,0.1484375,473.8904875232689,110.04686384426641,14,12
11,500,149503.96,0.11588541666666667,273.1500112779641,138.43105934774678,20,10
12,500,149504.36,0.078125,-5.8972922202825835,117.99251537831132,6,7
13,500,149504.36,0.0625,-202.33906963347673,144.94410463065884,12,4
14,500,149505.96,0.0546875,-297.05166763937444,123.02195835136634,4,4
15,500,149507.16,0.040364583333333336,-407.1520212605627,133.85821007710516,8,1
16,500,149507.96,0.024739583333333332,-418.51696779239484,141.7113625564179,6,2
17,500,149503.96,0.01953125,-451.73240364083546,132.23491791595677,0,2
18,500,149505.16,0.016927083333333332,-515.1911299458734,149.3757863334514,2,0
19,500,149503.56,0.00390625,-544.9423491460971,136.8033997407484,0,0
20,500,149503.16,0.005208333333333333,-537.6913336791654,149.35205943995797,4,1
21,500,149505.56,0.0026041666666666665,-567.3889510068337,146.76845406470838,0,0
22,500,149501.96,0.0026041666666666665,-536.3843071123795,142.42030555609082,2,0
23,500,149505.56,0.0013020833333333333,-562.9431047998675,141.73819649658387,0,0
24,500,149504.76,0.0026041666666666665,-609.1874819585715,149.77805822450046,0,0
25,500,149503.16,0.0013020833333333333,-562.9350073668533,145.72873564659452,4,0
26,500,149503.16,0.0,-549.7167894588015,143.57533675323486,0,0
27,500,149508.36,0.0,-571.583821401304,150.9972289395104,2,0
28,500,149504.36,0.0,-532.9062656510579,149.24664748006708,0,0
29,500,149502.36,0.0013020833333333333,-514.139185763004,137.57157905060336,0,0
30,500,149505.96,0.0,-527.4436275931528,143.46421493600474,2,0
31,500,149503.96,0.0,-500.7791543887931,147.550487484382,4,1
32,500,149500.76,0.0,-475.34839013553756,130.37532986900885,0,0
33,500,149504.36,0.0,-468.64658414378675,139.38819424484788,4,0
34,500,149506.76,0.0,-472.39623238665746,140.80497497116323,2,0
35,500,149506.76,0.0,-480.18369509901146,148.3174923934409,6,0
36,500,149501.96,0.0,-460.3039899868027,135.81769656081823,2,0
37,500,149502.36,0.0,-461.3444361354771,142.47902084897055,6,0
38,500,149507.56,0.0,-448.41449235500556,138.49598811192223,4,0
39,500,149508.36,0.0,-445.60660338057096,133.9777036281318,2,0
40,500,149506.76,0.0,-433.73396815331137,124.64269470106015,4,0
41,500,149506.36,0.0,-443.63772487894914,150.16529908938318,4,1
42,500,149505.96,0.0,-382.4690822695887,125.14907955568995,4,1
43,500,149505.16,0.0,-466.54611337663886,126.71721941169285,2,0
44,500,149503.56,0.0,-376.28453798018046,128.28615141073212,4,1
45,500,149503.56,0.0013020833333333333,-403.8532686630127,131.5600986136936,6,0
46,500,149506.76,0.0,-357.5702046068261,126.6725127776684,4,0
47,500,149501.96,0.0,-362.7149349786697,135.716117727794,6,1
48,500,149503.16,0.0,-373.42467957164183,148.352978168414,6,1
49,500,149503.56,0.0,-344.618924101918,123.33621760698993,8,0
50,500,149507.96,0.0,-321.87286572620417,131.76497102184217,10,0
10,500,149509.96,0.1484375,503.15167942351405,141.39660263563474,20,11
11,500,149503.96,0.1171875,259.83878345523067,134.65366831535457,10,6
12,500,149504.36,0.08854166666666667,-41.15975845639223,129.7365443189156,4,8
13,500,149504.36,0.07161458333333333,-168.64627895745355,116.1704318292204,2,5
14,500,149505.96,0.059895833333333336,-244.87732014013648,125.44638412178685,6,1
15,500,149507.16,0.040364583333333336,-372.66854790427965,140.8396735961537,4,2
16,500,149507.96,0.033854166666666664,-408.6913901061555,139.27136593895386,4,1
17,500,149503.96,0.024739583333333332,-489.7799027662543,142.1313909935578,0,0
18,500,149505.16,0.005208333333333333,-528.7940486748524,145.79204505667022,2,0
19,500,149503.56,0.01171875,-507.3768712333044,146.19254927903694,0,0
20,500,149503.16,0.005208333333333333,-558.181708906463,158.81268251196212,6,0
21,500,149505.56,0.0013020833333333333,-563.3918811072649,151.6977082277356,2,0
22,500,149501.96,0.0026041666666666665,-577.5470918128267,154.72994248188584,0,0
23,500,149505.56,0.0026041666666666665,-570.7688936228492,144.78617040563373,2,0
24,500,149504.76,0.0026041666666666665,-561.7043536066141,148.1093311049197,2,0
25,500,149503.16,0.0013020833333333333,-538.8929490480106,142.27218157040951,0,0
26,500,149503.16,0.0,-614.2381513554631,154.32150611276364,2,0
27,500,149508.36,0.0013020833333333333,-534.274084058997,137.42222818296725,0,0
28,500,149504.36,0.0,-527.5813601541748,139.72643818512645,4,0
29,500,149502.36,0.0,-544.6094031923128,150.26511044665241,2,0
30,500,149505.96,0.0,-527.3024380954316,140.06471432117326,2,1
31,500,149503.96,0.0,-509.31835117334793,144.078029520252,0,0
32,500,149500.76,0.0,-503.44710543870406,140.53228535298285,2,0
33,500,149504.36,0.0,-476.87297813359953,141.14177112709785,0,0
34,500,149506.76,0.0,-470.7155824362836,135.49527770534198,4,0
35,500,149506.76,0.0,-476.2635004531603,140.2539063176638,0,0
36,500,149501.96,0.0,-469.3979068408526,131.18683516658157,2,1
37,500,149502.36,0.0,-446.3632633458843,127.75720811464326,2,0
38,500,149507.56,0.0,-465.98347397834686,125.71932105447505,0,0
39,500,149508.36,0.0,-490.43950385805357,136.8904366547326,0,0
40,500,149506.76,0.0,-424.58168911412054,137.95862813521074,0,0
41,500,149506.36,0.0,-443.5915597615835,129.15076065473684,0,1
42,500,149505.96,0.0,-427.93092343928714,141.23970694698903,4,1
43,500,149505.16,0.0,-395.9584689273123,137.3144887082357,2,2
44,500,149503.56,0.0,-425.8664609767741,128.03549729208473,0,1
45,500,149503.56,0.0,-395.72351160770626,121.65143887721929,0,1
46,500,149506.76,0.0,-365.41502135258384,132.18712264126688,8,0
47,500,149501.96,0.0,-379.5352502887968,127.22761104379794,4,0
48,500,149503.16,0.0,-393.1022308413508,131.98373738993462,0,0
49,500,149503.56,0.0,-404.1042198845041,145.0247581040776,8,0
50,500,149507.96,0.0,-325.8930081740752,132.72143531710572,2,3
10,500,149509.96,0.14453125,537.705851590264,140.45234076823965,22,13
11,500,149503.96,0.11197916666666667,265.18340814576925,135.20180961813895,18,9
12,500,149504.36,0.07942708333333333,20.45268865860696,129.18776369825818,16,5
