Node multiplier,Edge multiplier,Lowest energy,Chain break fraction,Duplicates,Overlaps
1,1,-1061.6734243857577,0.0,26,136
1,2,-850.4989119843548,0.0,17,34
1,3,-752.9615491646717,0.0013020833333333333,9,16
1,4,-705.4336293637472,0.0026041666666666665,14,4
1,5,-586.3900275996623,0.0026041666666666665,17,4
1,6,-552.0502459972456,0.0013020833333333333,12,2
1,7,-483.954493358834,0.0026041666666666665,18,2
1,8,-466.3209199955313,0.0026041666666666665,19,0
2,1,-912.0331209989348,0.0,6,84
2,2,-777.7647341018514,0.0,1,30
2,3,-719.4958139621015,0.0,4,8
2,4,-660.2755943317433,0.0013020833333333333,4,6
2,5,-597.008288996659,0.0,4,0
2,6,-557.5229702140804,0.0,4,2
2,7,-500.2783780691034,0.0,7,0
2,8,-461.0307756680796,0.0026041666666666665,5,2
3,1,-749.4562266723497,0.0,3,110
3,2,-669.5363613742293,0.0,1,36
3,3,-626.1122817653578,0.0013020833333333333,0,8
3,4,-607.734039371249,0.0013020833333333333,2,4
3,5,-587.325436803937,0.0,1,6
3,6,-530.3634835453252,0.0,1,0
3,7,-521.2352238893734,0.0,0,0
3,8,-497.06749293716035,0.0013020833333333333,1,0
4,1,-703.1055443512765,0.0,1,122
4,2,-591.75769658829,0.0,1,56
4,3,-573.7196066097206,0.0,0,12
4,4,-557.8032958863625,0.0,1,8
4,5,-547.8393347285293,0.0013020833333333333,0,2
4,6,-529.2768870142604,0.0,0,2
4,7,-523.4121474350214,0.0,0,0
4,8,-523.2630054148026,0.0013020833333333333,1,0
5,1,-641.4219662303803,0.0,0,104
5,2,-541.1521866450023,0.0,0,48
5,3,-521.2758909144043,0.0,1,22
5,4,-513.7380734008688,0.0,0,10
5,5,-510.0249815547287,0.0,0,0
5,6,-476.5553332026275,0.0,1,2
5,7,-512.2116801958595,0.0013020833333333333,0,0
5,8,-487.32220623232087,0.0013020833333333333,0,4
6,1,-564.8578828674883,0.0,1,104
6,2,-469.10192125393894,0.0,0,44
6,3,-467.20521240472266,0.0,0,32
6,4,-490.7168354241152,0.0,0,12
6,5,-462.2160596982188,0.0,1,4
6,6,-487.98235530490194,0.0,0,2
6,7,-519.0504274133455,0.0,0,0
6,8,-489.5721221831182,0.0013020833333333333,0,0
7,1,-558.66369061299,0.0,1,144
7,2,-416.5594809862813,0.0,0,70
7,3,-394.009280932936,0.0,0,32
7,4,-431.0703831404656,0.0,0,10
7,5,-451.4779617444379,0.0,0,8
7,6,-476.17039771118937,0.0,0,2
7,7,-451.83016517273245,0.0,0,2
7,8,-459.0407202719344,0.0013020833333333333,0,0
8,1,-482.5347606324764,0.0,0,114
8,2,-385.68353408720355,0.0,0,58
8,3,-374.87895487365455,0.0,0,36
8,4,-366.44645686406034,0.0,0,24
8,5,-393.1222962621282,0.0,2,2
8,6,-447.0906604107984,0.0,0,2
8,7,-429.5878466480905,0.0013020833333333333,0,0
8,8,-484.7936681843677,0.0,0,0
1,1,-1056.167808990386,0.0,27,136
1,2,-863.8372752121602,0.0,10,36
1,3,-749.3262262527419,0.0013020833333333333,11,10
1,4,-653.828488356649,0.0026041666666666665,10,6
1,5,-583.3759003264776,0.0,18,4
1,6,-508.2620326344007,0.0026041666666666665,13,0
1,7,-474.42375602060633,0.0026041666666666665,22,4
1,8,-422.15492572021617,0.0026041666666666665,14,0
2,1,-907.6670754195893,0.0,8,100
2,2,-743.3962586350649,0.0,5,28
2,3,-684.6981774692562,0.0,2,16
2,4,-625.5199974308226,0.0026041666666666665,9,8
2,5,-591.6511362590878,0.0013020833333333333,5,0
2,6,-552.8670266912542,0.0013020833333333333,5,4
2,7,-493.4568761592039,0.00390625,7,2
2,8,-454.3223359698053,0.0026041666666666665,2,0
3,1,-770.2621060484444,0.0,5,94
3,2,-651.7153896742664,0.0,0,44
3,3,-610.7031956283472,0.0,0,10
3,4,-610.0260132310584,0.0,0,6
3,5,-586.4333155784068,0.0,0,2
