Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
500,-629.5323659008255,150.13039673538583,3529956.5,0,0
1000,-642.574257642706,154.4664890081996,6651636.2,0,0
1500,-652.8861179134732,156.30735975664248,9879875.2,1,0
2000,-645.8163758745238,148.30355091595547,13153195.1,0,0
2500,-650.2315188627148,153.10793842545888,16909135.3,1,0
3000,-649.7497583959664,148.2716120142757,20440261.7,1,0
3500,-680.0861268281882,145.3999422263689,23473395.9,0,0
500,-617.4138549544813,153.66810368479366,3400036.5,1,0
1000,-650.7590996226603,146.77153635710155,6734547.5,1,0
1500,-657.6355030367951,145.24020446307296,10139900.9,0,0
2000,-677.6232234634897,144.7083702959909,13943884.7,0,0
2500,-649.5274829930314,149.16198267206298,17003332.3,0,0
3000,-651.3735992204034,151.79659501013455,20497509.3,0,0
3500,-671.545939316171,154.9813225256405,24553207.2,0,0
200,-616.1547593353106,144.2828097411249,2714492.4,1,0
400,-659.7992209124106,152.2389894658386,5167769.7,1,0
600,-638.32351628049,140.3685148158205,7638046.6,1,0
800,-635.0105590138193,152.32063887941223,10216885.8,0,0
1000,-673.9926811216994,148.92683627347236,12694434.6,0,0
1200,-651.0801832146225,153.99121291897066,16924478.7,0,0
1400,-651.9854132568119,148.46771674032402,21126200.1,0,0
1600,-655.1289817207664,153.64629541693282,20607302.1,0,0
1800,-639.5608280051886,147.49344280364414,23045435.4,0,0
2000,-662.3239536485703,154.81912634805525,26689355.8,0,0
200,-650.6872520153962,154.35548671504068,2661113.1,0,0
400,-636.19447533449,141.35097000754828,5244421.6,0,0
600,-655.6413828786101,154.71613271917204,8050794.3,0,0
800,-642.3278334365477,154.21145943737656,10448526.4,0,0
1000,-659.2056828945726,153.00958869336225,13723124.4,0,0
1200,-662.9693841035777,147.08025485278029,15457512.4,0,0
1400,-649.0260333003685,148.90520395883874,18576736.5,0,0
1600,-659.3311376530413,149.95936095213375,21893713.5,0,0
1800,-650.9638347911367,143.83643957742183,24808617.5,0,0
2000,-653.3509182442557,140.07965974397507,26928906.6,0,0
