Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-447.487378261098,142.6159182397739,36706.2,8,0
400,-486.47464782177053,143.7365104951274,71946.9,4,0
600,-450.72502547218147,131.8226802019799,104645.5,6,0
800,-456.73966661975595,136.1388513565626,141227.0,10,0
1000,-499.9277791218578,141.1765272972127,182305.7,2,0
1200,-472.01617363158624,137.28114600033032,213212.4,4,0
1400,-498.1952337462269,137.0426807838178,263663.4,6,0
1600,-476.80434451430244,136.03861197599713,283035.3,2,0
1800,-463.9889304337438,140.792644900047,319777.3,6,0
2000,-474.229713323254,146.5135669633201,355224.6,6,0
200,-474.1055913585301,137.78124250738333,38052.5,6,0
400,-465.1300176322963,136.1823544372028,71334.4,6,0
600,-463.6315979566633,125.87129647001356,108054.3,0,0
800,-451.8585011563657,148.828806660771,142310.4,10,0
1000,-461.70961455059233,146.9414147307082,176057.3,6,0
1200,-477.7802775441547,147.71873851257396,212330.9,4,0
1400,-489.16036770557184,127.96308041326122,246047.4,2,0
1600,-470.92565371844717,149.9590536626343,282287.5,12,0
1800,-492.70174560516233,137.85674232003484,316842.5,6,0
2000,-466.7112074178192,133.41231836849988,354176.2,2,0
200,-482.5804536844647,140.45850438866444,36056.6,4,0
400,-429.20127898173484,134.2521371715002,72897.5,8,0
600,-492.6859145427553,150.1232919007217,107033.9,4,0
800,-494.1459618827756,133.21962407708799,141052.6,8,0
1000,-503.8489379219923,147.94420282692235,180130.9,4,0
1200,-466.1305865286657,130.42476404994946,210523.0,4,0
1400,-498.34146454702267,129.85100261759482,243536.3,4,0
1600,-475.6673467801212,140.3645701965662,279711.4,4,0
1800,-471.82787072150313,135.1147575934712,317550.3,10,0
2000,-469.39183248427844,157.28341163199002,352716.2,6,0
200,-469.2715236465196,147.42762873895742,35389.6,12,0
400,-448.72183407139244,154.54108506486364,71836.5,8,0
600,-500.9398323653173,153.7375899077749,105978.8,4,0
800,-472.47905684530645,138.0928768300347,145492.4,6,0
1000,-450.2002784942288,148.1865549809281,178092.5,8,0
1200,-491.9959279791478,138.90852070847018,215181.8,8,0
1400,-498.15971239992757,149.1902827505959,248012.6,10,0
1600,-469.92899674408363,144.9444086141775,282107.6,6,0
1800,-488.5245587428597,129.35133752697263,317001.4,2,0
2000,-472.8893819291407,143.81771677357497,348266.4,6,0
200,-409.04817109361863,139.36575679662346,38572.1,14,0
400,-450.25797007211264,150.44434444560457,72636.5,12,0
600,-477.2802498989505,134.2217552660957,105761.9,4,0
800,-449.96324710444225,140.5076775886176,140196.8,6,0
1000,-486.6991475419112,131.39051120022893,177135.8,2,0
1200,-495.7756035993829,132.95315071296253,213183.1,0,0
1400,-464.7383279632213,150.06542303919448,247440.0,16,0
1600,-492.79064949593334,149.44835065881824,282091.3,10,0
1800,-489.3881766611122,139.23986304425804,322413.0,6,0
2000,-483.8158784216168,133.40499603883632,355241.7,2,0
