Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
200,-803.1257687781801,183.16961263034054,3110827.2,0,0
400,-850.6849810346566,192.96633495346342,6101520.9,0,0
600,-819.6231491589701,179.42405192698314,8442158.6,1,0
800,-823.0821823771611,181.670681749672,14428314.0,0,1
1000,-813.8582822325073,189.1972660893471,15161082.8,0,0
1200,-832.9579333629639,187.00718311707553,17551709.0,2,0
1400,-833.41393772752,193.91943580499233,22524056.6,0,0
1600,-850.8223844887038,192.6837529077817,27475700.1,0,0
1800,-826.3077677209666,175.44516094984948,30590921.6,0,0
2000,-845.501649803551,184.924394945993,33244893.0,0,0
