Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
500,123389.16,16.081444251371536,0.0,-121.70892447392916,79.15031869557676,0,0
1000,231019.16,16.081444251371536,0.0,-119.74310090775613,81.05345929107214,0,0
1500,338649.16,16.081444251371536,0.0,-119.35602266990442,76.79741689155205,0,0
2000,446279.16,16.081444251371536,0.0,-122.47699355672138,79.91838777836901,0,0
2500,553909.16,16.081444251371536,0.0,-123.01850162155127,80.45989584319888,0,0
3000,661539.16,16.081444251371536,0.0,-126.1124635669458,79.684893626925,0,0
3500,769169.16,16.081444251371536,0.0,-128.64684154832378,78.35030744663457,0,0
500,123391.16,16.081444251371536,0.0,-120.45220171924365,77.89359594089127,0,0
1000,231021.16,16.081444251371536,0.0,-121.42050022839243,78.86189445004003,0,0
1500,338651.16,16.081444251371536,0.0,-124.17011747903727,77.7425475390165,0,0
2000,446281.16,16.081444251371536,0.0,-120.79704120444411,78.2384354260917,0,0
2500,553911.16,16.081444251371536,0.0,-123.18333404293475,76.75576410291396,0,0
3000,661541.16,16.081444251371536,0.0,-125.70492447408823,79.27735453406743,0,0
3500,769171.16,16.081444251371536,0.0,-125.13081914669318,70.96532088333558,0,0
