Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
500,-144.1592395451505,86.12477712012452,2812817.3,0,0
1000,-144.19986486831752,86.16540244329153,6470608.5,0,0
1500,-147.47714923057273,89.44268680554674,7556055.4,0,0
2000,-147.33393420196984,89.29947177694385,12180289.9,0,0
2500,-146.5211212439851,88.48665881895913,13692576.9,0,0
3000,-146.99144368440886,88.95698125938289,15605703.7,0,0
3500,-147.65676336266938,85.75333677597497,21133809.4,0,0
500,-145.99144368440886,87.95698125938289,1547787.3,0,0
1000,-146.1842857063787,88.14982328135271,3047284.4,0,0
1500,-146.03154533682104,87.99708291179505,4439334.9,0,0
2000,-146.1076954645887,88.0732330395627,5892225.3,0,0
2500,-147.33393420196984,89.29947177694383,7799651.9,0,0
3000,-147.72436966498762,85.82094307829323,9213482.0,0,0
3500,-147.25905035173818,89.22458792671219,10593262.9,0,0
