Multiplier,Lowest energy,Chain break fraction,Overlaps
1,-678.6353216871245,0.0,31
2,-551.645395794606,0.0017699115044247787,13
3,-439.29246172085686,0.0,5
4,-381.77916835350914,0.0035398230088495575,3
5,-360.53305490596915,0.0,2
6,-269.3734118342112,0.0,2
7,-221.30746222555837,0.0017699115044247787,2
8,-179.72468695040726,0.0,1
9,-140.12633044081514,0.0,0
10,-99.73900936928096,0.0,0
8,-174.1938523549756,0.0,1
9,-128.3046768388288,0.0,1
10,-113.69726874572893,0.0,0
11,-68.88002871691491,0.0,1
12,-35.79151490582327,0.0,0
5,-329.4471127142823,0.0017699115044247787,2
6,-303.6779759836734,0.0,2
7,-230.71528508358531,0.0,1
8,-222.0466781475036,0.0,1
9,-138.75718798126508,0.0017699115044247787,1
10,-100.2195168672593,0.0,0
11,-99.6032417261526,0.0035398230088495575,0
12,-67.4299736949428,0.0017699115044247787,0
13,-23.482423916353277,0.0,0
14,5.712777352657468,0.0,0
5,-291.7411839248215,0.0,1
6,-290.88879414658254,0.0,0
7,-196.76844232508154,0.0017699115044247787,1
8,-160.42563567473562,0.0017699115044247787,2
9,-138.69135242304563,0.0,1
10,-96.9614909665367,0.0017699115044247787,1
11,-82.5162609998644,0.0,1
12,-23.137532378421948,0.0017699115044247787,0
13,-37.20897736709888,0.0017699115044247787,0
14,-7.166381762749886,0.0,0
15,17.576561086775076,0.0,0
16,21.692352140905868,0.0,0
17,35.89722055484217,0.0017699115044247787,0
18,47.95067656145297,0.0017699115044247787,0
19,60.30105124858225,0.0035398230088495575,0
1,-683.4572319798214,0.0,35
2,-527.356964949896,0.0017699115044247787,21
3,-440.8746066610879,0.0,3
4,-394.0437196533659,0.0,2
1,-658.1388380083516,0.0,35
2,-506.21169814020556,0.0017699115044247787,20
3,-445.6454039877501,0.0,5
4,-379.4909230026283,0.0,3
1,-680.1867704963066,0.0,38
2,-514.1032083165397,0.0017699115044247787,11
3,-423.0640457890224,0.0017699115044247787,5
4,-360.5734301236139,0.0,2
5,-309.49700783172204,0.0,3
6,-264.7961942853207,0.0,1
7,-186.69827020856033,0.0017699115044247787,2
15,-8.635851229718213,0.0035398230088495575,1
16,-4.629581330851639,0.0,0
13,-48.80302840662842,0.0,0
14,-12.341268576570986,0.0035398230088495575,0
15,-3.836837865182495,0.0017699115044247787,0
16,0.5814924746612524,0.0,0
11,-112.60169939842025,0.0017699115044247787,0
12,-62.7044199625812,0.0035398230088495575,0
13,-70.94748315407175,0.0,0
14,-23.15444996739156,0.0017699115044247787,0
15,-22.430055874408765,0.0,0
16,-26.116128926815193,0.0,0
1,-667.2150770434532,0.0,36
2,-523.6201080687274,0.0,16
3,-413.58986415438414,0.0,5
4,-367.1421867714603,0.0,2
5,-330.23725795663404,0.0017699115044247787,1
6,-297.4740519865717,0.0,1
7,-209.1134822704117,0.0017699115044247787,1
8,-160.70190813807895,0.0035398230088495575,1
9,-157.25199900598108,0.0,0
10,-110.52813673343017,0.0017699115044247787,0
11,-73.22291809012282,0.0017699115044247787,0
12,-39.285190606093444,0.0017699115044247787,0
13,-20.657681926310318,0.0,0
14,-24.769645129595126,0.0,0
15,-9.842020345824707,0.0017699115044247787,0
16,12.14127598643097,0.0017699115044247787,0
