Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
500,236755.96,25,0.0013297872340425532,-627.574475492061,156.3740431432012,1,0
1000,457745.96,25,0.0013297872340425532,-622.2258430401058,142.71885600070337,0,0
1500,678735.96,25,0.0013297872340425532,-620.4496629663274,165.97121716793353,2,0
2000,899725.96,25,0.0013297872340425532,-631.0785684836111,147.86171772954688,1,0
500,236755.96,25,0.0013297872340425532,-620.8771613556694,144.39862186639976,0,0
1000,457745.96,25,0.0,-644.485641440547,161.73506929068049,1,0
1500,678735.96,25,0.0013297872340425532,-647.3105534780016,159.4624593582601,0,1
2000,899725.96,25,0.0,-630.6964580797307,141.4663894413291,0,0
500,236755.96,25,0.0,-638.4392213547525,157.1353240686777,0,0
1000,457745.96,25,0.0026595744680851063,-604.9132322782115,138.47936349022345,0,0
1500,678735.96,25,0.0,-651.0208052018917,156.03881161972842,1,0
2000,899725.96,25,0.0013297872340425532,-643.8461829617561,147.40273125787354,1,0
200,104162.36,25,0.0,-602.4094704292714,151.3921823487007,1,0
400,192558.36,25,0.0026595744680851063,-623.21505157489,153.650800139859,0,0
600,280954.36,25,0.0,-642.280847022348,152.86970232125205,1,0
800,369350.36,25,0.0013297872340425532,-645.5314885829089,148.06807564379804,0,0
1000,457746.36,25,0.0,-636.5062380396398,150.2421539389362,1,0
1200,546142.36,25,0.0,-597.3932723646548,155.49007192418838,1,0
1400,634538.36,25,0.0,-646.2787018970041,155.10047215534854,1,0
1600,722934.36,25,0.0,-627.2531026519407,156.75272538313487,0,1
1800,811330.36,25,0.0,-653.6129127731749,155.69151069060592,1,0
2000,899726.36,25,0.0,-642.5871967441203,160.7821868407818,1,1
