Total reads,Lowest energy,Total entropy,Overlaps,Duplicates
100,-612.002477276145,148.73588224270893,1,0
200,-614.3259502640392,147.50080502119695,1,0
300,-675.0685898665159,162.34337083614253,1,0
400,-624.58602150999,153.4731668261354,1,0
500,-644.2588337157815,147.19378711771137,0,0
600,-655.6642568267638,142.5468552752051,0,0
700,-636.8234319875828,156.4042945257082,0,0
800,-633.5298189400662,149.56704779853933,0,0
900,-644.3478954255609,151.96158957189058,0,0
1000,-661.3814547755281,155.50961221783209,0,0
2000,-638.0914575593152,137.08746516493616,0,0
3000,-656.0307258459361,150.0332432452036,0,0
4000,-659.9230231786001,144.96100207268728,1,0
5000,-676.6285476552608,155.62802992777802,1,0
