Total reads,Lowest energy,Total entropy,Time,Overlaps,Duplicates
500,-530.6181126565926,145.14245161885512,77115.6,2,0
1000,-547.6273302456733,139.24157852065386,152370.2,1,0
1500,-587.1918177060428,146.954079512928,228554.1,1,0
2000,-539.9345810678385,148.10160566770267,310041.4,0,0
2500,-551.0053582598787,147.93066546603268,382669.3,3,0
3000,-553.0813341055411,159.56191024970835,460570.1,3,0
3500,-547.7929169233088,141.74590177480286,563739.7,2,0
500,-539.0466451787663,155.07146151024307,79172.7,5,0
1000,-527.8552875668132,132.47629427127865,159508.1,1,0
1500,-540.5380447676571,148.65415689604498,242987.4,1,0
2000,-581.7843293762991,154.65959636128179,315156.4,1,0
2500,-557.6711407495244,135.16544180948353,400441.1,0,0
3000,-570.4645161966995,155.44466395092508,478701.7,1,0
3500,-557.6030946657961,156.08524533427158,558093.9,2,0
