Multiplier,Lowest energy,Chain break fraction
8,-216.25084886699184,0.0017699115044247787
9,-214.51344580619525,0.0
10,-143.16410463916552,0.0017699115044247787
11,-103.30489901937493,0.0017699115044247787
12,-91.0665046119085,0.0
13,-59.46109974314711,0.0
14,-49.39783749505446,0.0
15,39.440665534973284,0.0017699115044247787
8,-246.2025694197784,0.0017699115044247787
15,-27.33932164564253,0.0017699115044247787
9,-169.64800925480137,0.0
10,-149.4633864750821,0.0017699115044247787
11,-120.14944375455197,0.0035398230088495575
12,-115.90417665615443,0.0017699115044247787
13,-59.24962974758891,0.0017699115044247787
14,-25.0213246141235,0.0
15,-8.62335587455726,0.0017699115044247787
