Total reads,Time,Chain strength,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
100,41967.16,31.67529278103625,0.0,-494.3013044273657,140.06989439658958,1,1
200,68165.16,31.67529278103625,0.0,-478.24055618230676,141.6609922475349,1,0
300,94363.16,31.67529278103625,0.0,-475.5505934712197,135.9157487760096,0,0
400,120561.16,31.67529278103625,0.0013297872340425532,-534.8350239987438,140.51756802363843,0,1
500,146759.16,31.67529278103625,0.0,-514.7615353574251,135.74478785734303,1,0
600,172957.16,31.67529278103625,0.0,-516.5488140378186,147.27673158891412,4,1
700,199155.16,31.67529278103625,0.0,-525.2701384570037,135.6378289869791,0,1
800,225353.16,31.67529278103625,0.0,-505.40286998235257,146.2135809280405,1,1
900,251551.16,31.67529278103625,0.0,-512.8524055747876,149.700975258341,0,0
1000,277749.16,31.67529278103625,0.0,-506.1112983385122,136.22082191829116,2,1
2000,539729.16,31.67529278103625,0.0,-541.3749675727458,154.88856544977287,1,0
2000,539729.16,31.67529278103625,0.0,-578.8996078219244,150.7286691110211,1,0
3000,801709.16,31.67529278103625,0.0,-552.1985923332314,143.72478668356345,1,0
3500,932699.16,31.67529278103625,0.0,-587.1272750407064,154.13640916076207,1,0
