Total reads,Chain strength,Anneal time,QPU time,Lowest energy,Chain break fraction
1000,11.915569014597928,20.0,279767.56,-488.03880925564056,0.0017699115044247787
100,11.915569014597928,20.0,42167.56,-444.48807882603256,0.0017699115044247787
200,11.915569014597928,20.0,68567.56,-464.5113466301123,0.0035398230088495575
300,11.915569014597928,20.0,94967.56,-506.1750608689288,0.0017699115044247787
400,11.915569014597928,20.0,121367.56,-487.268654536458,0.0017699115044247787
500,11.915569014597928,20.0,147767.56,-493.1482793706658,0.0017699115044247787
600,11.915569014597928,20.0,174167.56,-452.9197952753024,0.0017699115044247787
700,11.915569014597928,20.0,200567.56,-506.2058266415231,0.0017699115044247787
800,11.915569014597928,20.0,226967.56,-534.3444754579618,0.0017699115044247787
900,11.915569014597928,20.0,253367.56,-508.48992384219355,0.0017699115044247787
1000,11.915569014597928,20.0,279767.56,-506.45936447445206,0.0017699115044247787
100,11.915569014597928,20.0,42167.56,-488.25883369725113,0.0017699115044247787
100,11.915569014597928,20.0,42167.56,-470.8060042474246,0.0017699115044247787
100,11.915569014597928,20.0,42167.56,-480.32404195077805,0.0017699115044247787
100,11.915569014597928,20.0,42167.56,-436.83846780639357,0.0035398230088495575
200,11.915569014597928,20.0,68567.56,-488.5920795478038,0.0017699115044247787
200,11.915569014597928,20.0,68567.56,-507.5071289842021,0.0017699115044247787
200,11.915569014597928,20.0,68567.56,-486.76787313963536,0.0017699115044247787
200,11.915569014597928,20.0,68567.56,-481.7404632463166,0.0017699115044247787
300,11.915569014597928,20.0,94967.56,-484.9711213264257,0.0017699115044247787
300,11.915569014597928,20.0,94967.56,-474.02876577643514,0.0017699115044247787
300,11.915569014597928,20.0,94967.56,-489.87605118771455,0.0017699115044247787
300,11.915569014597928,20.0,94967.56,-495.2343822205575,0.0017699115044247787
400,11.915569014597928,20.0,121367.56,-484.7429755041992,0.0017699115044247787
400,11.915569014597928,20.0,121367.56,-517.9200623338592,0.0017699115044247787
400,11.915569014597928,20.0,121367.56,-513.1078504459766,0.0017699115044247787
400,11.915569014597928,20.0,121367.56,-519.8101774520755,0.0017699115044247787
500,11.915569014597928,20.0,147767.56,-518.6601295770379,0.0017699115044247787
500,11.915569014597928,20.0,147767.56,-488.42767523954365,0.0017699115044247787
500,11.915569014597928,20.0,147767.56,-500.10176869713194,0.0017699115044247787
500,11.915569014597928,20.0,147767.56,-496.1021057690842,0.0017699115044247787
600,11.915569014597928,20.0,174167.56,-483.920628284569,0.0017699115044247787
600,11.915569014597928,20.0,174167.56,-508.335415940322,0.0017699115044247787
600,11.915569014597928,20.0,174167.56,-501.918782279843,0.0017699115044247787
600,11.915569014597928,20.0,174167.56,-495.5264211984401,0.0017699115044247787
700,11.915569014597928,20.0,200567.56,-495.9281459925338,0.0017699115044247787
700,11.915569014597928,20.0,200567.56,-503.9413454606192,0.0017699115044247787
700,11.915569014597928,20.0,200567.56,-495.87184009203406,0.0017699115044247787
700,11.915569014597928,20.0,200567.56,-532.8277407212101,0.0017699115044247787
800,11.915569014597928,20.0,226967.56,-516.440996103627,0.0017699115044247787
800,11.915569014597928,20.0,226967.56,-492.41966614369755,0.0017699115044247787
800,11.915569014597928,20.0,226967.56,-498.5648298717286,0.0017699115044247787
800,11.915569014597928,20.0,226967.56,-510.1400230418235,0.0017699115044247787
900,11.915569014597928,20.0,253367.56,-516.9259648870479,0.0017699115044247787
900,11.915569014597928,20.0,253367.56,-510.11544456292023,0.0017699115044247787
900,11.915569014597928,20.0,253367.56,-532.8370199957393,0.0035398230088495575
900,11.915569014597928,20.0,253367.56,-517.6022152122929,0.0017699115044247787
1000,11.915569014597928,20.0,279767.56,-507.4029358384691,0.0017699115044247787
1000,11.915569014597928,20.0,279767.56,-507.42883916342805,0.0017699115044247787
1000,11.915569014597928,20.0,279767.56,-515.7225989232003,0.0017699115044247787
1000,11.915569014597928,20.0,279767.56,-517.0894271873218,0.0017699115044247787
100,11.915569014597928,20.0,42165.56,-481.43016232580015,0.0017699115044247787
100,11.915569014597928,20.0,42165.56,-461.4243065120117,0.0017699115044247787
100,11.915569014597928,20.0,42165.56,-457.42990749021146,0.0017699115044247787
