Total reads,Lowest energy,Overlaps,Total entropy
1000,-429.0778720426533,0,177.70404735867433
2000,-435.2505244033746,0,178.07551738956658
3000,-435.2294406750443,0,178.66436367666444
4000,-445.0247959289518,0,180.14210151878427
5000,-440.34224134705437,0,176.14549703735693
1000,-434.9438733695929,0,178.41887579756073
2000,-439.87655203332525,0,178.01609730708458
3000,-444.7361274380901,0,179.01429742652905
4000,-453.3518667902276,0,177.99812741007776
5000,-439.5172423498856,0,175.3073815041588
6000,-436.0600684743666,0,180.47127907629527
7000,-446.7500517375057,0,179.9310405002664
8000,-446.33639406673433,0,176.97207565927994
9000,-439.33354311365406,0,176.26892068225175
10000,-443.7847517147733,0,180.44701988667873
11000,-441.55273175812874,0,180.10852156469923
12000,-454.4669535020365,0,178.38758020189584
13000,-445.02538957080594,0,179.82790727311934
14000,-449.2457080916086,0,174.30582730802186
15000,-450.3928606052492,0,174.6982032613878
16000,-442.6063321917144,0,178.40451453419502
17000,-444.9281542145842,0,179.29544971200323
18000,-443.53453034543236,0,181.33021647233556
19000,-444.34112404625796,0,179.81758036129978
20000,-443.7883877996267,0,180.584737789224
