Total reads,Chain strength,Anneal time,QPU time,Lowest energy,Chain break fraction,Overlaps,Total entropy
1000,32.62225919937769,20.0,147761.16,-24.024811848618057,0.0035398230088495575,0,136.5715607790228
1500,32.62225919937769,20.0,147761.16,-38.69247016578881,0.0017699115044247787,0,135.16973106575867
2000,32.62225919937769,20.0,147761.16,-99.37613176979869,0.005309734513274336,0,144.3183680216715
2500,32.62225919937769,20.0,147761.16,-66.96699586120896,0.0035398230088495575,0,146.6366145998633
3000,32.62225919937769,20.0,147761.16,-67.00494366447681,0.0017699115044247787,0,136.77889751208608
3500,32.62225919937769,20.0,147761.16,-70.25917350804659,0.0017699115044247787,0,145.59976211894553
4000,32.62225919937769,20.0,147761.16,-71.07637386519735,0.0,2,157.02835566428243
4500,32.62225919937769,20.0,147761.16,-55.116651154353434,0.0017699115044247787,1,139.12191050929064
5000,32.62225919937769,20.0,147761.16,-112.31573105892164,0.0,0,147.1966286228848
1000,32.62225919937769,20.0,147761.96,-38.73207888649427,0.0035398230088495575,0,143.84639786716153
1500,32.62225919937769,20.0,147761.96,-58.24146865674472,0.0017699115044247787,0,142.91110003930237
2000,32.62225919937769,20.0,147761.96,-78.26558421323574,0.0017699115044247787,0,149.6453411125135
2500,32.62225919937769,20.0,147761.96,-64.46091323190458,0.0,0,139.79658469376452
3000,32.62225919937769,20.0,147761.96,-60.43088186352972,0.0035398230088495575,0,146.76368356647544
3500,32.62225919937769,20.0,147761.96,-58.31596475998741,0.0035398230088495575,0,139.947661742405
4000,32.62225919937769,20.0,147761.96,-53.29750723520553,0.0017699115044247787,0,139.99304807182375
4500,32.62225919937769,20.0,147761.96,-76.88918250587275,0.0,0,144.6699237644844
5000,32.62225919937769,20.0,147761.96,-67.90111542203422,0.0017699115044247787,0,137.70388788173392
2000,32.62225919937769,20.0,147761.96,-96.49759981040167,0.0,0,154.94688574788756
2500,32.62225919937769,20.0,147761.96,-55.8671681493646,0.005309734513274336,0,141.96224235559544
3000,32.62225919937769,20.0,147761.96,-67.55744920787673,0.0,0,152.13301854821702
3500,32.62225919937769,20.0,147761.96,-91.6881995109076,0.0017699115044247787,0,143.92869843457342
4000,32.62225919937769,20.0,147761.96,-66.11756870042461,0.0,1,140.99471724425388
4500,32.62225919937769,20.0,147761.96,-89.30276420224432,0.0,0,140.32695350916845
5000,32.62225919937769,20.0,147761.96,-91.59477808167479,0.0017699115044247787,0,146.04962499390695
500,32.62225919937769,20.0,147761.96,-45.28378801740486,0.0035398230088495575,0,140.53392373028225
1000,32.62225919937769,20.0,147761.96,-52.82156637127342,0.0017699115044247787,0,146.47092460983225
1500,32.62225919937769,20.0,147761.96,-56.4388504371876,0.0,0,144.90013623662097
2000,32.62225919937769,20.0,147761.96,-65.3282237265528,0.0,0,145.3447303149957
2500,32.62225919937769,20.0,147761.96,-71.36193449677614,0.0017699115044247787,0,142.34211189084934
