Instrument,No,ID,Start,End,Entropy
Flute,1,Flute_1,40.0,46.0,2.448788890811972
Flute,2,Flute_2,46.0,76.0,-0.0
Flute,3,Flute_3,76.0,110.0,2.660152376640496
Flute,4,Flute_4,110.0,114.0,-0.0
Flute,5,Flute_5,114.0,140.0,-0.0
Flute,6,Flute_6,140.0,147.0,2.2359263506290326
Flute,7,Flute_7,147.0,180.0,-0.0
Flute,8,Flute_8,180.0,226.0,3.7303634810581863
Flute,9,Flute_9,226.0,226.5,-0.0
Flute,10,Flute_10,226.5,242.0,2.5434034028763257
Flute,11,Flute_11,242.0,304.5,-0.0
Flute,12,Flute_12,304.5,372.0,3.8498125133387635
Flute,13,Flute_13,372.0,387.0,-0.0
Flute,14,Flute_14,387.0,502.0,3.8773894518488223
Flute,15,Flute_15,502.0,518.0,-0.0
Flute,16,Flute_16,518.0,522.0,-0.0
Flute,17,Flute_17,522.0,532.0,-0.0
Flute,18,Flute_18,532.0,534.0,-0.0
Flute,19,Flute_19,534.0,576.0,-0.0
Flute,20,Flute_20,576.0,614.0,3.165695618788019
Flute,21,Flute_21,614.0,632.0,-0.0
Flute,22,Flute_22,632.0,671.0,2.435909241665556
Flute,23,Flute_23,671.0,686.0,-0.0
Flute,24,Flute_24,686.0,742.0,3.439276206901373
Flute,25,Flute_25,742.0,742.5,-0.0
Flute,26,Flute_26,742.5,924.0,4.245063001418755
Flute,27,Flute_27,924.0,929.0,0.9182958340544896
Flute,28,Flute_28,929.0,936.0,-0.0
Flute,29,Flute_29,936.0,940.0,1.0
Flute,30,Flute_30,940.0,972.0,2.851801513840077
Flute,31,Flute_31,972.0,990.5,-0.0
Flute,32,Flute_32,990.5,1014.0,2.8316244252764453
Oboe,1,Oboe_1,114.0,166.0,-0.0
Oboe,2,Oboe_2,166.0,242.0,3.8888479934167917
Oboe,3,Oboe_3,242.0,304.5,-0.0
Oboe,4,Oboe_4,304.5,372.0,3.3352352068868445
Oboe,5,Oboe_5,372.0,385.0,-0.0
Oboe,6,Oboe_6,385.0,432.0,3.4593858176554653
Oboe,7,Oboe_7,432.0,502.0,2.9344682946643266
Oboe,8,Oboe_8,502.0,532.0,2.8046708534694957
Oboe,9,Oboe_9,532.0,534.0,-0.0
Oboe,10,Oboe_10,534.0,558.0,3.6444377780099297
Oboe,11,Oboe_11,558.0,562.0,-0.0
Oboe,12,Oboe_12,562.0,616.0,3.3860525689605074
Oboe,13,Oboe_13,616.0,634.0,-0.0
Oboe,14,Oboe_14,634.0,656.0,0.9852281360342516
Oboe,15,Oboe_15,656.0,704.0,-0.0
Oboe,16,Oboe_16,704.0,736.0,2.466362535501762
Oboe,17,Oboe_17,736.0,776.0,2.4089526811523463
Oboe,18,Oboe_18,776.0,776.0,0.0
Oboe,19,Oboe_19,776.0,800.0,2.8453598488889957
Oboe,20,Oboe_20,800.0,804.0,1.183345557164655
Oboe,21,Oboe_21,804.0,812.0,-0.0
Oboe,22,Oboe_22,812.0,1016.0,3.9169373377905203
Clarinet,1,Clarinet_1,8.0,34.5,-0.0
Clarinet,2,Clarinet_2,34.5,40.0,2.892878689342031
Clarinet,3,Clarinet_3,40.0,46.0,2.448788890811972
Clarinet,4,Clarinet_4,46.0,62.5,-0.0
Clarinet,5,Clarinet_5,62.5,64.0,-0.0
Clarinet,6,Clarinet_6,64.0,74.0,-0.0
Clarinet,7,Clarinet_7,74.0,101.0,2.8092000326978117
Clarinet,8,Clarinet_8,101.0,102.0,-0.0
Clarinet,9,Clarinet_9,102.0,114.0,0.7219280948873623
Clarinet,10,Clarinet_10,114.0,132.0,-0.0
Clarinet,11,Clarinet_11,132.0,139.0,2.2359263506290326
Clarinet,12,Clarinet_12,139.0,164.0,-0.0
Clarinet,13,Clarinet_13,164.0,200.0,2.1641477244088865
Clarinet,14,Clarinet_14,200.0,200.5,-0.0
Clarinet,15,Clarinet_15,200.5,211.0,3.0134044311430257
Clarinet,16,Clarinet_16,211.0,213.0,-0.0
Clarinet,17,Clarinet_17,213.0,215.0,-0.0
Clarinet,18,Clarinet_18,215.0,217.0,-0.0
Clarinet,19,Clarinet_19,217.0,226.0,2.3864466996218376
Clarinet,20,Clarinet_20,226.0,226.5,-0.0
Clarinet,21,Clarinet_21,226.5,242.0,2.8982858007819834
Clarinet,22,Clarinet_22,242.0,276.0,3.2634068690671425
Clarinet,23,Clarinet_23,276.0,276.0,0.0
Clarinet,24,Clarinet_24,276.0,278.0,1.0
Clarinet,25,Clarinet_25,278.0,280.0,1.0
Clarinet,26,Clarinet_26,280.0,280.0,0.0
Clarinet,27,Clarinet_27,280.0,282.0,1.0
Clarinet,28,Clarinet_28,282.0,282.0,0.0
Clarinet,29,Clarinet_29,282.0,290.0,1.0
Clarinet,30,Clarinet_30,290.0,322.0,4.020588226694798
Clarinet,31,Clarinet_31,322.0,326.0,2.892878689342031
Clarinet,32,Clarinet_32,326.0,328.5,-0.0
Clarinet,33,Clarinet_33,328.5,356.0,2.9748067842293935
Clarinet,34,Clarinet_34,356.0,367.0,-0.0
Clarinet,35,Clarinet_35,367.0,372.0,1.6225562489182657
Clarinet,36,Clarinet_36,372.0,388.0,1.6825003405631098
Clarinet,37,Clarinet_37,388.0,390.0,0.8112781244591328
Clarinet,38,Clarinet_38,390.0,400.0,0.9182958340544896
Clarinet,39,Clarinet_39,400.0,406.0,-0.0
Clarinet,40,Clarinet_40,406.0,476.0,3.016472729085061
Clarinet,41,Clarinet_41,476.0,480.5,-0.0
Clarinet,42,Clarinet_42,480.5,502.0,2.1459787727280437
Clarinet,43,Clarinet_43,502.0,510.0,-0.0
Clarinet,44,Clarinet_44,510.0,532.0,0.9182958340544896
