Instrument,No,ID,Start,End,Entropy
Violin I,1,Violin I_1,8.0,12.0,-0.0
Violin I,2,Violin I_2,12.0,20.0,2.7736843762620236
Violin I,3,Violin I_3,20.0,24.0,-0.0
Violin I,4,Violin I_4,24.0,36.5,2.6724876891689537
Violin I,5,Violin I_5,36.5,47.0,2.784010874644601
Violin I,6,Violin I_6,47.0,50.0,2.5418848434970744
Violin I,7,Violin I_7,50.0,51.5,-0.0
Violin I,8,Violin I_8,51.5,53.0,1.9182958340544893
Violin I,9,Violin I_9,53.0,54.5,-0.0
Violin I,10,Violin I_10,54.5,69.5,3.8689641616683996
Violin I,11,Violin I_11,69.5,72.0,-0.0
Violin I,12,Violin I_12,72.0,74.0,2.4340437717594363
Violin I,13,Violin I_13,74.0,78.0,-0.0
Violin I,14,Violin I_14,78.0,80.0,2.4340437717594363
Violin I,15,Violin I_15,80.0,84.0,-0.0
Violin I,16,Violin I_16,84.0,85.0,1.0
Violin I,17,Violin I_17,85.0,87.0,-0.0
Violin I,18,Violin I_18,87.0,88.0,1.0
Violin I,19,Violin I_19,88.0,90.0,-0.0
Violin I,20,Violin I_20,90.0,92.5,0.7219280948873623
Violin I,21,Violin I_21,92.5,96.0,-0.0
Violin I,22,Violin I_22,96.0,98.5,2.364011629520427
Violin I,23,Violin I_23,98.5,102.0,-0.0
Violin I,24,Violin I_24,102.0,103.0,1.0
Violin I,25,Violin I_25,103.0,105.0,-0.0
Violin I,26,Violin I_26,105.0,106.0,1.0
Violin I,27,Violin I_27,106.0,108.0,-0.0
Violin I,28,Violin I_28,108.0,108.5,-0.0
Violin I,29,Violin I_29,108.5,109.5,-0.0
Violin I,30,Violin I_30,109.5,111.0,2.0
Violin I,31,Violin I_31,111.0,115.0,2.82759912921136
Violin I,32,Violin I_32,115.0,116.5,1.584962500721156
Violin I,33,Violin I_33,116.5,117.5,1.0
Violin I,34,Violin I_34,117.5,120.0,-0.0
Violin I,35,Violin I_35,120.0,128.0,2.7024549619059113
Violin I,36,Violin I_36,128.0,132.0,-0.0
Violin I,37,Violin I_37,132.0,137.0,2.935440200948998
Violin I,38,Violin I_38,137.0,138.5,-0.0
Violin I,39,Violin I_39,138.5,140.0,0.9182958340544896
Violin I,40,Violin I_40,140.0,144.0,-0.0
Violin I,41,Violin I_41,144.0,150.5,2.873140679513133
Violin I,42,Violin I_42,150.5,161.0,2.737322779818595
Violin I,43,Violin I_43,161.0,163.75,2.5683182557028434
Violin I,44,Violin I_44,163.75,165.5,-0.0
Violin I,45,Violin I_45,165.5,167.0,1.9182958340544893
Violin I,46,Violin I_46,167.0,168.5,-0.0
Violin I,47,Violin I_47,168.5,174.0,2.8472596304423274
Violin I,48,Violin I_48,174.0,176.5,1.9219280948873623
Violin I,49,Violin I_49,176.5,184.5,2.5832493991213625
Violin II,1,Violin II_1,11.0,12.0,-0.0
Violin II,2,Violin II_2,12.0,30.5,3.576911051568265
Violin II,3,Violin II_3,30.5,31.5,1.0
Violin II,4,Violin II_4,31.5,32.0,-0.0
Violin II,5,Violin II_5,32.0,33.5,0.9182958340544896
Violin II,6,Violin II_6,33.5,38.0,-0.0
Violin II,7,Violin II_7,38.0,47.0,2.7527152789797045
Violin II,8,Violin II_8,47.0,48.5,-0.0
Violin II,9,Violin II_9,48.5,59.0,2.8013962689769345
Violin II,10,Violin II_10,59.0,64.0,2.7004180581997947
Violin II,11,Violin II_11,64.0,69.5,1.3921472236645345
Violin II,12,Violin II_12,69.5,75.0,-0.0
Violin II,13,Violin II_13,75.0,77.0,1.5
Violin II,14,Violin II_14,77.0,81.0,-0.0
Violin II,15,Violin II_15,81.0,83.0,1.5
Violin II,16,Violin II_16,83.0,85.5,-0.0
Violin II,17,Violin II_17,85.5,86.5,1.0
Violin II,18,Violin II_18,86.5,88.5,-0.0
Violin II,19,Violin II_19,88.5,89.5,1.0
Violin II,20,Violin II_20,89.5,93.0,-0.0
Violin II,21,Violin II_21,93.0,96.5,2.710777084415067
Violin II,22,Violin II_22,96.5,99.0,-0.0
Violin II,23,Violin II_23,99.0,101.0,1.5
Violin II,24,Violin II_24,101.0,103.5,-0.0
Violin II,25,Violin II_25,103.5,108.5,1.3787834934861753
Violin II,26,Violin II_26,108.5,111.0,2.5032583347756456
Violin II,27,Violin II_27,111.0,117.5,2.6032189941180546
Violin II,28,Violin II_28,117.5,120.0,-0.0
Violin II,29,Violin II_29,120.0,131.0,2.976216224524763
Violin II,30,Violin II_30,131.0,132.0,-0.0
Violin II,31,Violin II_31,132.0,144.5,3.0735173629140013
Violin II,32,Violin II_32,144.5,146.0,-0.0
Violin II,33,Violin II_33,146.0,147.5,-0.0
Violin II,34,Violin II_34,147.5,149.0,-0.0
Violin II,35,Violin II_35,149.0,151.5,1.8365916681089791
Violin II,36,Violin II_36,151.5,152.0,-0.0
Violin II,37,Violin II_37,152.0,153.0,1.0
Violin II,38,Violin II_38,153.0,153.5,-0.0
Violin II,39,Violin II_39,153.5,155.0,0.9182958340544896
Violin II,40,Violin II_40,155.0,161.0,3.1030297417257686
Violin II,41,Violin II_41,161.0,162.5,-0.0
Violin II,42,Violin II_42,162.5,167.0,3.4509611139957355
Violin II,43,Violin II_43,167.0,170.0,3.503258334775645
Violin II,44,Violin II_44,170.0,171.5,-0.0
Violin II,45,Violin II_45,171.5,173.0,-0.0
Violin II,46,Violin II_46,173.0,174.0,-0.0
Violin II,47,Violin II_47,174.0,176.5,1.9219280948873623
Violin II,48,Violin II_48,176.5,179.0,2.321928094887362
Violin II,49,Violin II_49,179.0,180.0,-0.0
Violin II,50,Violin II_50,180.0,184.5,1.576900914616579
Viola,1,Viola_1,9.0,11.0,1.5
Viola,2,Viola_2,11.0,12.0,-0.0
Viola,3,Viola_3,12.0,17.0,2.5418848434970744
Viola,4,Viola_4,17.0,21.0,-0.0
Viola,5,Viola_5,21.0,33.5,3.029423942181382
Viola,6,Viola_6,33.5,34.5,-0.0
Viola,7,Viola_7,34.5,36.5,2.0
Viola,8,Viola_8,36.5,41.0,2.82759912921136
Viola,9,Viola_9,41.0,48.5,-0.0
Viola,10,Viola_10,48.5,59.0,1.4366664819166874
Viola,11,Viola_11,59.0,63.5,1.9219280948873623
Viola,12,Viola_12,63.5,66.5,2.811278124459133
Viola,13,Viola_13,66.5,68.0,1.0
Viola,14,Viola_14,68.0,69.5,2.0
Viola,15,Viola_15,69.5,75.0,-0.0
Viola,16,Viola_16,75.0,77.0,1.5
Viola,17,Viola_17,77.0,81.0,-0.0
Viola,18,Viola_18,81.0,90.5,2.7506120151057627
Viola,19,Viola_19,90.5,93.0,-0.0
Viola,20,Viola_20,93.0,95.0,1.5
Viola,21,Viola_21,95.0,99.0,2.0
Viola,22,Viola_22,99.0,108.5,2.468402019641433
Viola,23,Viola_23,108.5,111.0,2.5032583347756456
Viola,24,Viola_24,111.0,125.0,3.6056829326768223
Viola,25,Viola_25,125.0,129.0,-0.0
Viola,26,Viola_26,129.0,131.0,1.5
Viola,27,Viola_27,131.0,132.0,-0.0
Viola,28,Viola_28,132.0,137.0,2.5418848434970744
Viola,29,Viola_29,137.0,141.0,-0.0
Viola,30,Viola_30,141.0,144.5,2.0928786893420313
Viola,31,Viola_31,144.5,149.0,0.9182958340544896
Viola,32,Viola_32,149.0,150.5,-0.0
Viola,33,Viola_33,150.5,155.0,3.0
Viola,34,Viola_34,155.0,162.5,-0.0
Viola,35,Viola_35,162.5,173.0,1.221694907636328
Viola,36,Viola_36,173.0,176.5,2.5683182557028434
Viola,37,Viola_37,176.5,177.0,-0.0
Viola,38,Viola_38,177.0,179.0,2.5032583347756456
Viola,39,Viola_39,179.0,180.0,-0.0
Viola,40,Viola_40,180.0,180.5,-0.0
Viola,41,Viola_41,180.5,182.0,1.0
Viola,42,Viola_42,182.0,184.5,1.8365916681089791
